JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
CSD 01 Manhattan,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0,4,0.36,6,0.55,0,0,0,0,0,0,11,100,0,0,11,1,0,0,0,0,11,100,0,0,11,1,0,0,11,100
CSD 02 Manhattan,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0,54,0.44,1,0.01,37,0.3,4,0.03,0,0,124,100,7,0.06,117,0.94,0,0,0,0,124,100,38,0.31,86,0.69,0,0,124,100
CSD 03 Manhattan,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0,0,0,38,100,14,0.37,24,0.63,0,0,38,100
CSD 04 Manhattan,20,13,0.65,7,0.35,0,0,20,100,0,4,0.2,0,0,0,0,0,0,15,0.75,1,0.05,0,0,20,100,0,0,20,1,0,0,0,0,20,100,8,0.4,12,0.6,0,0,20,100
CSD 05 Manhattan,7,4,0.57,3,0.43,0,0,7,100,0,1,0.14,0,0,1,0.14,0,0,4,0.57,1,0.14,0,0,7,99,1,0.14,6,0.86,0,0,0,0,7,100,1,0.14,6,0.86,0,0,7,100
CSD 06 Manhattan,18,8,0.44,10,0.56,0,0,18,100,0,12,0.67,0,0,2,0.11,0,0,3,0.17,1,0.06,0,0,18,100,1,0.06,17,0.94,0,0,0,0,18,100,7,0.39,11,0.61,0,0,18,100
CSD 07 Bronx,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0,1,0.01,0,0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100
CSD 08 Bronx,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0,1,0.06,4,0.24,1,0.06,0,0,0,0,17,100,1,0.06,16,0.94,0,0,0,0,17,100,4,0.24,13,0.76,0,0,17,100
CSD 09 Bronx,34,20,0.59,14,0.41,0,0,34,100,1,17,0.5,1,0.03,0,0,0,0,13,0.38,1,0.03,1,0.03,34,100,1,0.03,33,0.97,0,0,0,0,34,100,12,0.35,22,0.65,0,0,34,100
CSD 10 Bronx,324,189,0.58,135,0.42,0,0,324,100,0,166,0.51,1,0,6,0.02,4,0.01,130,0.4,17,0.05,0,0,324,99,20,0.06,300,0.93,4,0.01,0,0,324,100,112,0.35,212,0.65,0,0,324,100
CSD 11 Bronx,139,82,0.59,57,0.41,0,0,139,100,1,44,0.32,1,0.01,1,0.01,3,0.02,83,0.6,5,0.04,1,0.01,139,100,7,0.05,131,0.94,1,0.01,0,0,139,100,48,0.35,91,0.65,0,0,139,100
CSD 12 Bronx,26,19,0.73,7,0.27,0,0,26,100,0,10,0.38,0,0,0,0,0,0,15,0.58,1,0.04,0,0,26,100,4,0.15,22,0.85,0,0,0,0,26,100,12,0.46,14,0.54,0,0,26,100
CSD 13 Brooklyn,6,6,1,0,0,0,0,6,100,0,0,0,0,0,1,0.17,4,0.67,0,0,1,0.17,0,0,6,100,0,0,6,1,0,0,0,0,6,100,3,0.5,3,0.5,0,0,6,100
CSD 14 Brooklyn,47,34,0.72,13,0.28,0,0,47,100,0,2,0.04,0,0,1,0.02,41,0.87,1,0.02,2,0.04,0,0,47,99,0,0,47,1,0,0,0,0,47,100,31,0.66,16,0.34,0,0,47,100
CSD 15 Brooklyn,63,51,0.81,12,0.19,0,0,63,100,0,2,0.03,0,0,1,0.02,47,0.75,5,0.08,8,0.13,0,0,63,100,3,0.05,60,0.95,0,0,0,0,63,100,23,0.37,40,0.63,0,0,63,100
CSD 16 Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSD 17 Brooklyn,100,75,0.75,25,0.25,0,0,100,100,0,0,0,0,0,0,0,84,0.84,9,0.09,7,0.07,0,0,100,100,1,0.01,99,0.99,0,0,0,0,100,100,36,0.36,64,0.64,0,0,100,100
CSD 18 Brooklyn,19,14,0.74,5,0.26,0,0,19,100,0,2,0.11,0,0,1,0.05,3,0.16,11,0.58,2,0.11,0,0,19,100,2,0.11,17,0.89,0,0,0,0,19,100,1,0.05,18,0.95,0,0,19,100
CSD 19 Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSD 20 Brooklyn,305,234,0.77,71,0.23,0,0,305,100,0,1,0,0,0,6,0.02,289,0.95,0,0,8,0.03,1,0,305,100,6,0.02,298,0.98,1,0,0,0,305,100,158,0.52,147,0.48,0,0,305,100
CSD 21 Brooklyn,421,233,0.55,188,0.45,0,0,421,100,0,21,0.05,0,0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,0,0,421,100,87,0.21,334,0.79,0,0,421,100
CSD 22 Brooklyn,228,159,0.7,69,0.3,0,0,228,100,0,17,0.07,0,0,5,0.02,168,0.74,21,0.09,15,0.07,2,0.01,228,100,5,0.02,223,0.98,0,0,0,0,228,100,30,0.13,198,0.87,0,0,228,100
CSD 23 Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSD 24 Queens,2,1,0.5,1,0.5,0,0,2,100,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,100,0,0,2,1,0,0,0,0,2,100,0,0,2,1,0,0,2,100
CSD 25 Queens,2,1,0.5,1,0.5,0,0,2,100,0,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,2,100,2,1,0,0,0,0,0,0,2,100,0,0,2,1,0,0,2,100
CSD 26 Queens,2,0,0,2,1,0,0,2,100,0,1,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,2,100,1,0.5,1,0.5,0,0,0,0,2,100,0,0,2,1,0,0,2,100
CSD 27 Queens,40,13,0.33,27,0.68,0,0,40,100,0,1,0.03,0,0,0,0,37,0.93,1,0.03,1,0.03,0,0,40,100,0,0,40,1,0,0,0,0,40,100,5,0.13,35,0.88,0,0,40,100
CSD 28 Queens,26,15,0.58,11,0.42,0,0,26,100,0,3,0.12,0,0,1,0.04,14,0.54,6,0.23,1,0.04,1,0.04,26,100,1,0.04,25,0.96,0,0,0,0,26,100,7,0.27,19,0.73,0,0,26,100
CSD 29 Queens,4,1,0.25,3,0.75,0,0,4,100,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,100,1,0.25,3,0.75,0,0,0,0,4,100,0,0,4,1,0,0,4,100
CSD 30 Queens,6,4,0.67,2,0.33,0,0,6,100,0,5,0.83,0,0,0,0,1,0.17,0,0,0,0,0,0,6,100,1,0.17,5,0.83,0,0,0,0,6,100,1,0.17,5,0.83,0,0,6,100
CSD 31 Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSD 32 Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
